skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,232,Concept,OeAI,140,Spaetzeit,,,30. Dynastie,,,30th Dynasty,,,,https://www.wikidata.org/wiki/Q386303,skos:exactMatch,,,,
kulturepoche,233,Concept,OeAI,140,Spaetzeit,,,31. Dynastie,,,31st Dynasty,,,,https://www.wikidata.org/wiki/Q978071,skos:exactMatch,,,,
kulturepoche,234,Concept,OeAI,142,fruehbyzantinisch,,,justinianisch,,,Justinian,,,,,,https://chronontology.dainst.org/period/i8FokDK41BZ6,skos:exactMatch,,
kulturepoche,235,Concept,OeAI,145,archaisch,,,früharchaisch,,,Early Archaic,,,,,,https://chronontology.dainst.org/period/0Jnp2MWmSZjC,skos:exactMatch,,
kulturepoche,236,Concept,OeAI,145,archaisch,,,hocharchaisch,,,High Archaic,Middle Archaic,,,,,https://chronontology.dainst.org/period/gFZviC9Ehp0O,skos:exactMatch,,
kulturepoche,237,Concept,OeAI,145,archaisch,,,orientalisierend,,,Orientalizing Period,Orientalizing Period,Orientalising Revolution,Orientalizing Revolution,,,https://chronontology.dainst.org/period/7FaA0NgbdXDs,skos:exactMatch,,
kulturepoche,238,Concept,OeAI,145,archaisch,,,spätarchaisch,,,Late Archaic,,,,,,https://chronontology.dainst.org/period/6GXiCOaCfmTQ,skos:exactMatch,,
kulturepoche,239,Concept,OeAI,146,geometrisch,,,frühgeometrisch,,,Early Geometric,,,,,,https://chronontology.dainst.org/period/9EZPSCbQ0bNP,skos:exactMatch,,
kulturepoche,240,Concept,OeAI,146,geometrisch,,,mittelgeometrisch,,,Middle Geometric,,,,,,https://chronontology.dainst.org/period/AMH9SUN4lnKm,skos:exactMatch,,
kulturepoche,241,Concept,OeAI,146,geometrisch,,,protogeometrisch,,,Proto-Geometric,Protogeometric,,,,,https://chronontology.dainst.org/period/90Hn6glf9wp5,skos:exactMatch,,
kulturepoche,242,Concept,OeAI,146,geometrisch,,,spätgeometrisch,,,Late Geometric,,,,,,https://chronontology.dainst.org/period/3Y47oKS1Pg8L,skos:exactMatch,,
kulturepoche,243,Concept,OeAI,146,geometrisch,,,subgeometrisch,,,Sub Geometric,Sub-Geometric,,,,,https://chronontology.dainst.org/period/U5KkgjlmLIc4,skos:exactMatch,,
kulturepoche,244,Concept,OeAI,147,hellenistisch,,,frühhellenistisch,,,Early Hellenistic,,,,,,https://chronontology.dainst.org/period/hORjfiFsdbaX,skos:exactMatch,,
